identifier,title
S 3816,Marine Highway Promotion Act
HR 8121,No Electric Ferries Act
S 3160,"Border Accountability, Oversight, and Community Engagement Act"
HR 7008,Pre-approval Information Exchange Act of 2022
S 772,Responsibility for Unaccompanied Minors Act
S 275,Retirement Freedom Act
S 313,Expanding SNAP Options Act of 2021
S 2384,Semiquincentennial Commemorative Coin Act
HR 168,Reentry and Reunification Act
S 2396,Department of Defense Ethics and Anti-Corruption Act of 2021
HR 7933,Keep Infant Formula Safe and On the Shelves Act of 2022
HR 4557,REVEAL Act
HR 250,January 8<sup>th</sup> National Memorial Act
S 933,Battleship Iowa National Museum of the Surface Navy Act of 2021
HR 7486,No Child Left Inside Act of 2022
HR 5705,"To make technical amendments to update statutory references to provisions reclassified to title 34, United States Code."
S 3556,LICENSE Act of 2022
S 3161,Onward to Opportunity Act
HR 4625,VA Caregiver Transparency Act
S 2388,COMPOST Act
HR 4580,American Seasonal and Perishable Crop Support Act
HR 4581,Mamie Till-Mobley Memorial Stamp Act
HR 4584,Healthy Forests for Hunters Act of 2021
S 2397,Helping Students SOAR with Social Security Act
S 2394,Federal Land Freedom Act of 2021
S 2390,Support Through Loss Act
HR 5817,NCAA Accountability Act of 2021
S 5084,Arrest Murderers not Ministers Act
S 1337,Agriculture Resilience Act of 2021
HR 8621,Get Our Kids to School Act of 2022
HR 9070,National Museum of American LGBTQ+ History and Culture Act
S 3147,Reservists Opportunity Act of 2021
HJRES 30,Proposing a balanced budget amendment to the Constitution of the United States.
HR 2506,SAUDI WMD Act
HR 5527,Accountability in Foreign Animal Research Act
HR 2981,Suicide Prevention Lifeline Improvement Act of 2021
HR 1449,Emergency Savings Accounts Act of 2021
HR 6066,Strengthening the Office of Personnel Management Act
HR 6434,Japanese American World War II History Network Act
HR 9292,"To promote United States interests at the international financial institutions, and for other purposes."
HR 8452,Reproductive Health Travel Fund Act of 2022
S 2387,Small Business Tax Fairness Act
S 2398,Sustainable Highways Innovation Act
S 2332,Farm System Reform Act of 2021
HRES 835,Recognizing and supporting the goals and ideals of a National Runaway Prevention Month.
SRES 267,"A resolution designating June 12, 2021, as ""Women Veterans Appreciation Day""."
HR 5821,American Energy Worker Opportunity Act of 2021
HR 4203,IMPROVE Addiction Care Act
SRES 311,A resolution congratulating the 2021 Scripps National Spelling Bee champion Zaila Avant-garde.
HR 3003,Promoting United States Wireless Leadership Act of 2021
S 3324,Food Date Labeling Act of 2021
HRES 727,Relating to the consideration of House Report 117–152 and an accompanying resolution.
S 3332,Let States Innovate Under Medicaid Act
S 285,Medicaid Reentry Act of 2021
HR 1754,MEDIA Diversity Act of 2021
S 2416,New Opportunities for Value that Extend Lives Act of 2021
S 2417,Credit Access and Inclusion Act of 2021
S 2326,Native American Child Protection Act of 2021
HR 4413,National Infrastructure Development Bank Act of 2021
S 2412,Protecting Access to Lifesaving Screenings Act of 2021
S 3277,Section 401 Certification Act
HR 6481,Transition-to-Success Mentoring Act
S 4484,Securing Employee Retirement Returns Act
S 2064,Clean Energy Victory Bond Act of 2021
HR 6500,Home Office Deduction Act of 2022
HR 4542,Energy Efficient Public Buildings Act of 2021
HR 6503,District of Columbia Special Elections Home Rule Act
HR 6490,Banning Insider Trading in Congress Act
S 4725,Data-Driven Foster Parent Recruitment and Retention Act of 2022
S 3326,Strengthening Protections Against Chinese Printed Circuit Boards Act
HR 6488,Port Cranes for America Act
