identifier,title
HRES 594,"Providing for consideration of the bill (H.R. 4) to amend the Voting Rights Act of 1965 to revise the criteria for determining which States and political subdivisions are subject to section 4 of the Act, and for other purposes; providing for consideration of the Senate amendment to the bill (H.R. 3684) to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes; and providing for the adoption of the concurrent resolution (S. Con. Res. 14) setting forth the congressional budget for the United States Government for fiscal year 2022 and setting forth the appropriate budgetary levels for fiscal years 2023 through 2031; and for other purposes."
HRES 445,"Condemning all violence and human rights abuses in Ethiopia, and calling on the Government of Ethiopia and the Government of the State of Eritrea to remove all Eritrean troops from Ethiopia, and for all belligerents in the conflict, including the Ethiopian National Defense Forces, the Tigray People's Liberation Front, and Amhara regional forces, and other armed groups to cease all hostilities, protect human rights, allow unfettered humanitarian access, and cooperate with independent investigations of credible atrocity allegations."
S 3261,"A bill to amend title 38, United States Code, to provide for the inclusion of certain emblems on headstones and markers furnished for veterans by the Secretary of Veterans Affairs, and for other purposes."
HRES 105,Reaffirming that voting is a fundamental right of all eligible United States citizens and recognizing that allowing illegal immigrants the right to vote devalues the franchise and diminishes the voting power of United States citizens.
HR 4153,Clean Energy Future Through Innovation Act of 2021
S 1846,Surveillance and free speech Protection Enhancement in Export controls for Censorship and Human rights Act of 2021
SRES 101,"A resolution expressing the sense of the Senate that, while the United States finds value and usefulness in the World Trade Organization in fulfilling the needs of the United States and other free and open economies in the 21st century, significant reforms at the World Trade Organization are needed and the United States must therefore continue to demonstrate leadership to achieve those reforms."
HR 5262,Enhancing Military Base Resilience And Conserving Ecosystems through Stormwater Management Act
HR 2859,Restoring Neighborhoods and Strengthening Communities Act
HR 1091,Protect Our Universities Act of 2021
S 2905,University Cybersecurity Consortia Improvement Act of 2021
S 3016,Military FATIGUES Act of 2021
HR 2830,GRAM Act
HR 5593,Cybersecurity Opportunity Act
S 764,CAHOOTS Act
HR 1347,Eric Garner Excessive Use of Force Prevention Act of 2021
HR 3217,Lawless Cities Accountability Act of 2021
HR 7709,Displaced Afghan Women and Girls Education Act of 2022
HRES 100,Calling on the President of the United States to take executive action to broadly cancel Federal student loan debt.
HR 7346,John W. Walsh Alpha-1 Home Infusion Act of 2022
HRES 755,Expressing support for the 2021 United Nations Climate Change Conference in Glasgow and reaffirming the United States commitment to international cooperation combating climate change.
S 1900,Women’s Economic Empowerment in Trade Act of 2021
S 1798,TIKES Act
S 1802,Upskilling and Retraining Assistance Act
HR 4881,Old Pascua Community Land Acquisition Act
HR 6146,Stranded Gas Recovery and Utilization Act of 2021
HR 3732,Enhancing Oversight To End Discrimination in Policing Act
S 2058,Servicemember Safety and Security Act of 2021
HR 4415,Chester County Reversionary Interest Release Act
HR 2177,Fair Transportation Act
HRES 551,"Expressing support for the designation of August 1, 2021, as ""Gold Star Children's Day""."
S 863,Asylum Abuse Reduction Act
HR 471,PAUSE Act of 2021
HR 5802,National Flood Insurance Program Reauthorization and Reform Act of 2021
HR 3209,Disaster Safe Power Grid Act of 2021
S 2842,Respecting Our Ser­vice­mem­bers Act
HR 1141,Broadband Competition and Efficient Deployment Act
S 2165,Education Savings Accounts for Military Families Act of 2021
HR 2646,Taiwan International Solidarity Act
HR 3249,Contents of Our Character Act of 2021
HR 1149,Communities Overregulating Networks Need Economic Competition Today Act
SRES 359,"A resolution expressing the sense of the Senate that the Secretary of State should designate the Afghan Taliban as a Foreign Terrorist Organization, freeze all assets of the Government of Afghanistan held in the United States, and use all authority and influence of the United States Government to prohibit the distribution of funds to the Afghan Taliban by other countries and international institutions and organizations."
S 1456,Marijuana Data Collection Act
HR 4438,CIRCUS Act
S 2511,Revitalizing Downtowns Act
HR 2099,Secure Rural Schools Reauthorization Act of 2021
HR 6368,To amend the District of Columbia Home Rule Act to permit the Chairman of the Council of the District of Columbia to transmit Acts of the District of Columbia to Congress in electronic form.
HR 2015,Billion Dollar Boondoggle Act of 2021
S 534,Tribal Child Support Enforcement Act
HR 2789,To direct the Secretary of Veterans Affairs to administer a pilot program to employ veterans in positions that relate to conservation and resource management activities.
HR 6312,Preventing Mandates on Toddlers Act
HRES 489,Encouraging the celebration of the month of June as LGBTQIA+ Pride Month.
HRES 484,Expressing the sense of the House of Representatives that the United States should not waive intellectual property rights relating to COVID-19 vaccines or treatments.
S 1973,Filthy Fifty Act
SRES 541,"A resolution commemorating the life and legacy of Jean-Louis de Kerouac on the centennial of his birth on March 12, 2022."
HR 7024,Every Town A Border Town Act
HRES 561,"Recognizing and celebrating the 200th anniversary of the entry of Missouri, the ""Show Me State"", into the Union as the 24th State."
HR 4294,Disaster Preparedness for Power Outages Act of 2021
HRES 397,"Expressing the sense of the House of Representatives that Critical Race Theory serves as a prejudicial ideological tool, rather than an educational tool, and should not be taught in K-12 classrooms as a way to teach students to judge individuals based on sex, race, ethnicity, and national origin."
HR 924,Southern Border Communities Reimbursement Act of 2021
S 146,Medical Bankruptcy Fairness Act of 2021
HR 4573,Stop CATASTROPHES Act
HR 5248,TRIAGE Act of 2021
S 1568,TRAIN Act
HR 1755,Northern Rockies Ecosystem Protection Act
HRES 1392,"Recognizing ""Banned Books Week"" and the sweeping attacks on books in the United States today, acknowledging the central role books play in promoting democratic and civil discourse, and urging recognition of the illegitimate tactics being used to ban books in K-12 classrooms, universities, prisons, and libraries."
HR 832,Safe and Affordable Drugs from Canada Act of 2021
S 2623,U.S.A. Beef Act
S 2105,MINDS Act
HRES 615,"Celebrating the goals and ideals of the first International Day for People of African Descent, particularly the principle that ""all human beings are born free and equal in dignity and rights and have the potential to contribute constructively to the development and well-being of their societies""."
HR 1554,Nuclear SLCM Ban Act of 2021
SRES 461,A resolution commemorating and supporting the goals of World AIDS Day.
S 631,COVID–19 Mental Health Research Act
HR 6277,Ethylene is Essential for Chemistry and Manufacturing Act
S 3393,A bill to amend the Internal Revenue Code of 1986 to permanently extend the Health Coverage Tax Credit.
HRES 634,"Expressing support for the designation of the week of September 13, 2021, through September 17, 2021, as ""National Small Business Week"" to celebrate the contributions of small businesses and entrepreneurs in every community in the United States."
HR 2858,Sara’s Law and the Preventing Unfair Sentencing Act of 2021
HRES 39,"Honoring the bravery and self-sacrifice by officers of the United States Capitol Police and other Federal, State, and local law enforcement agencies during the January 6, 2021, attack on the United States Capitol."
HR 3995,Twenty-First Century Nuclear Security Act
S 3537,Child Tax Credit for Pregnant Moms Act of 2022
HR 755,Right to Earn a Living Act of 2021
HR 1827,Gun Owner Registration Information Protection Act
S 873,Climate Change Resiliency Fund for America Act of 2021
HR 475,Health Care Fairness for Military Families Act of 2021
S 1977,Improving Coverage and Care for Mothers Act
HR 3733,Essential Caregivers Act of 2021
S 1435,Affordable Prescriptions for Patients Act of 2021
HR 5963,Provider Relief Fund Improvement Act
HRES 185,"Expressing support for designation of March 3, 2021, as National Triple-Negative Breast Cancer Day."
HR 4329,Broadband Internet for Small Ports Act
HR 2095,"To require the Secretary of the Army to conduct a study to determine the costs for the Corps of Engineers to ensure that certain project activities authorized under Nationwide Permit 14 comply with public safety conditions, and for other purposes."
HR 2876,Protecting America’s Workers Act
HR 2622,CONFUCIUS Act
S 960,ROC Act
S 3023,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2022, and for other purposes."
S 2508,Veterans and Consumers Fair Credit Act
HR 2192,Camp Lejeune Justice Act of 2021
S 441,STURDY Act
HRES 58,Memorializing the unborn by lowering the United States flag to half-staff on the 22d day of January each year.
HR 1078,Prohibiting Perks and Privileges Act
SRES 13,A resolution expressing the sense of the Senate that the International Olympic Committee should rebid the 2022 Winter Olympic Games to be hosted by a country that recognizes and respects human rights.
HR 1752,COOL OFF Act
HR 6269,Monitoring China-UAE Cooperation Act
S 1109,Minority Entrepreneurship Grant Program Act of 2021
S 3365,Incentivizing the Expansion of U.S. Ports Act
S 1821,Humane Correctional Health Care Act
HR 6573,Office of Technology Assessment Improvement and Enhancement Act
S 3575,Stop the Wait Act of 2022
HR 3297,Public Health Workforce Loan Repayment Act of 2021
HR 4346,Supreme Court Security Funding Act of 2022
HR 3554,Pharmacy DIR Reform To Reduce Senior Drug Costs Act
S 293,Dignity for Aborted Children Act
S 3170,No Forced Vaccination for COVID–19 Act
HR 1946,Medicare Multi-Cancer Early Detection Screening Coverage Act of 2021
HR 2681,Integrity Committee Transparency Act of 2021
S 775,END ALL Hazing Act
S 1384,21st Century FREE Speech Act
S 1639,A bill to amend the Energy Independence and Security Act of 2007 to reauthorize the energy efficiency and conservation block grant program.
S 3440,"A bill to amend the Federal Food, Drug, and Cosmetic Act and the Defense Production Act of 1950 to prohibit the Federal Government from limiting State access to key therapies, such as monoclonal antibodies, and from prioritizing Federal contracts over State contracts relating to purchasing supplies to combat the COVID-19 pandemic."
HCONRES 67,"Expressing the sense of Congress that passengers in motor vehicles should be educated and encouraged to advocate for their own safety and the safety of others during National Passenger Safety Week, January 23 through 29, 2022, and throughout the year."
HR 4084,Methane Emissions Reduction Act of 2021
S 1013,Smarter Sentencing Act of 2021
HR 2705,Natural Gas Export Expansion Act
HR 4131,Better Care Better Jobs Act
S 549,"A bill to provide for the conveyance of certain property to the Tanana Tribal Council located in Tanana, Alaska, and for other purposes."
HR 1228,Libya Stabilization Act
S 1867,COVID-19 Origin Act of 2021
S 608,Keeping Critical Connections Act of 2021
HR 2001,Diversity Data Accountability Act
S 1812,Lincoln Home National Historic Site Boundary Modification Act
HR 6052,Department of Veterans Affairs Office of Inspector General Training Act of 2021
HRES 771,Congratulating Atlanta on winning the 2021 Major League Baseball World Series.
HR 2100,Providing Americans with LNG Safely Act
S 3102,Investor Freedom Act of 2021
SRES 188,A resolution expressing appreciation and recognition for the Trump Administration for the creation of Operation Warp Speed and the historic development of a COVID-19 vaccine.
HJRES 36,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Procedural Requirements and Resubmission Thresholds Under Exchange Act Rule 14a-8""."
SRES 415,"A resolution designating the week beginning on October 10, 2021, as ""National Wildlife Refuge Week""."
HR 646,COVID–19 Mine Worker Protection Act
S 3080,Cancer Drug Parity Act of 2021
HR 217,Improving Confidence in Veterans’ Care Act
HR 4514,Restore and Modernize Our National Laboratories Act of 2021
HR 2082,VA Supply Chain Resiliency Act
HRES 883,Recognizing National Sanctity of Human Life Day.
HR 3399,"To amend the Federal Power Act to require the consideration of invasive species when prescribing fishways, and for other purposes."
HR 4395,Payment Choice Act of 2021
HR 276,Congressional Oversight of Unjust Policing Act
HR 2400,Community Broadband Mapping Act
HR 7527,Recognition of the 1995 Jordan Extradition Treaty with the U.S. Act
S 644,Rural Hospital Closure Relief Act of 2021
HRES 568,"Expressing that the United States is obligated to permanently end the unhoused crisis by 2025 and uphold, protect, and enforce the civil and human rights of unhoused individuals, including the human rights to housing, universal health care, livable wages, education, employment opportunities, access to public facilities, free movement in public spaces, privacy, confidentiality, internet access, vote, freedom from harassment by law enforcement, private businesses, property owners, and housed residents, and equal rights to health care, legal representation, and social services without discrimination based on housing status."
SCONRES 27,"A concurrent resolution affirming the importance of religious freedom as a fundamental human right that is essential to a free society and protected for all people of the United States under the Constitution of the United States, and recognizing the 236th anniversary of the enactment of the Virginia Statute for Religious Freedom."
S 1177,E Visa Integrity Act of 2021
SCONRES 7,"A concurrent resolution recognizing the heroism of the United States Capitol personnel and journalists during the insurrectionist attack on the United States Capitol on January 6, 2021."
S 885,Success for Rural Students and Communities Act of 2021
S 1390,Youth Mental Health Services Act of 2021
S 2180,Holding the Chinese Communist Party Accountable for Infecting Americans Act of 2021
HR 6029,Taiwan Non-Discrimination Act of 2021
S 2472,SACKLER Act
HR 857,Iranian Arms Transfer Prevention Act of 2021
HR 948,Justice for Incarcerated Moms Act of 2021
S 3421,Stop Iranian Drones Act of 2021
HR 3467,Improving Data Collection for Adverse Childhood Experiences Act
HR 1787,Ensuring Second Amendment Freedoms are Executed Timely Act
HR 2639,Trillion Trees Act
HRES 815,Supporting the goals and ideals of National Rural Health Day.
HR 4901,Public Housing Procurement Improvement Act of 2021
HR 4414,Cancer Care Planning and Communications Act of 2021
SRES 35,"A resolution condemning the military coup that took place on February 1, 2021, in Burma and the Tatmadaw's detention of civilian leaders, calling for an immediate and unconditional release of all those detained, promoting accountability and justice for those killed by the Tatmadaw, and calling for those elected to serve in parliament to resume their duties without impediment, and for other purposes."
S 2953,Protecting Financial Privacy Act of 2021
HRES 504,"Providing for consideration of the bill (H.R. 2662) to amend the Inspector General Act of 1978, and for other purposes; providing for consideration of the bill (H.R. 3005) to direct the Joint Committee on the Library to replace the bust of Roger Brooke Taney in the Old Supreme Court Chamber of the United States Capitol with a bust of Thurgood Marshall to be obtained by the Joint Committee on the Library and to remove certain statues from areas of the United States Capitol which are accessible to the public, to remove all statues of individuals who voluntarily served the Confederate States of America from display in the United States Capitol, and for other purposes; providing for consideration of the bill (H.R. 3684) to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes; providing for consideration of the resolution (H. Res. 503) Establishing the Select Committee to Investigate the January 6th Attack on the United States Capitol; and for other purposes."
HRES 1143,"Recognizing the service of the Los Angeles-class attack submarine, the USS Oklahoma City, and the crew of the USS Oklahoma City, who served the United States with valor and bravery."
S 33,BRICKS Act of 2021
HRES 461,Commemorating the 40th anniversary of the HIV/AIDS epidemic.
HR 2162,Criminalize Fleeing from Immigration Enforcement Act of 2021
HR 895,Emergency Assistance for Rural Water Systems Act of 2021
S 784,Jobs for Economic Recovery Act of 2021
HRES 254,Expressing the sense of the Congress that the Parthenon Marbles should be returned to Greece.
HJRES 24,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States."
S 3336,HALT Fentanyl Act
HR 2666,New Overages in Crisis Areas Prevention Act
HR 3523,Cullum Owings Large Truck Safe Operating Speed Act of 2021
S 2302,"A bill to amend the Department of Energy Organization Act to assign certain functions to the Assistant Secretaries of Energy relating to energy emergencies and energy security, and for other purposes."
HR 4898,HALT Campus Sexual Violence Act of 2021
HR 2958,End the Limo Loophole Act
S 2409,United States Call Center Worker and Consumer Protection Act of 2021
HR 3651,RAPID Act
HR 912,American Indian and Alaska Native Veterans Mental Health Act
HR 7903,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Canton, Michigan, as the ""Major General Oliver W. Dillard VA Clinic""."
S 2980,Wildlife-Livestock Conflict Resolution Act
S 1020,Korematsu-Takai Civil Liberties Protection Act of 2021
HR 7900,National Defense Authorization Act for Fiscal Year 2023
S 1495,International Press Freedom Act of 2021
HR 1972,Fair Care for Vietnam Veterans Act of 2021
HRES 335,"Expressing support for the designation of May as Ehlers-Danlos Syndrome Awareness Month to increase the knowledge of this little-known, potentially fatal, genetic disease."
HRES 683,"Expressing support for the recognition of September 27, 2021, to October 3, 2021, as ""Asian American and Native American Pacific Islander-Serving Institutions Week""."
HRES 208,Providing amounts for the expenses of the Committee on Energy and Commerce in the One Hundred Seventeenth Congress.
HR 5060,"To direct the Inspector General of the Department of Defense to conduct an investigation into the withdrawal of the United States armed forces from Afghanistan, and for other purposes."
HR 331,Nurses Certification And Recognition of Experience Act of 2021
HRES 1145,Recognizing Menstrual Hygiene Day.
HR 162,"To amend the CARES Act to provide for repayment terms for mortgages in forbearance, and for other purposes."
HRES 259,"Expressing support for designation of the third Friday of every March, as ""National FIRST Robotics Day""."
S 1006,Stopping Overdoses of Fentanyl Analogues Act
HR 6219,Protecting Community Television Act
HR 7880,Degrees Not Debt Act of 2022
HR 3715,Protection Against Double Tolling Act
HR 7895,Combating Excessive Student Debt Act of 2022
S 2240,Volunteer Innovation Act
HR 1735,Journalism Competition and Preservation Act of 2021
S 1489,USTR Inspector General Act of 2021
HR 1839,National Lighthouse Museum Act
HR 7899,"To designate the facility of the United States Postal Service located at 75 Commerce Drive in Grayslake, Illinois, as the ""Army Specialist Joseph 'Joey' W. Dimock II Post Office Building""."
S 1146,SAUDI WMD Act
HRES 422,MORDECAI Resolution
HR 2816,Legacy Roads and Trails Act
HR 980,Southwestern Oregon Watershed and Salmon Protection Act of 2021
S 2090,Disarm Hate Act
S 4189,Agriculture Innovation Act of 2022
HR 467,Protecting Patient Access to Lifesaving COVID–19 Drugs Act of 2021
HR 1136,Federal Jobs Act
SRES 82,A resolution honoring the life and legacy of John Robert Lewis and commending John Robert Lewis for his towering achievements in the nonviolent struggle for civil rights.
S 1549,A bill to require a review of the National Aeronautics and Space Administration preference for domestic suppliers.
HR 1499,La Paz County Solar Energy and Job Creation Act of 2021
HR 2155,Toxic Health Threat Warning Act of 2021
S 2858,Creative Economy Revitalization Act
S 4322,Foreign Merger Subsidy Disclosure Act
HR 6211,Strengthening Relations in Military Communities Act of 2021
S 2589,Securing America’s Medicine Cabinet Act of 2021
S 1475,Livestock Regulatory Protection Act of 2021
SRES 410,A resolution supporting the goals and ideals of National Cybersecurity Awareness Month to raise awareness and enhance the state of cybersecurity in the United States.
S 2027,CARE for Tourette Syndrome Act of 2021
HR 2993,Educational Partnerships for Innovation in Communities Program Authorization Act
S 2140,Solar Energy Manufacturing for America Act
HRES 498,"Honoring the lives and legacies of the ""Radium Girls""."
HRES 553,"Of inquiry requesting the President and directing the Secretary of Health and Human Services and the Secretary of Homeland Security to transmit, respectively, certain documents to the House of Representatives relating to unaccompanied alien children."
HR 1302,Gold Star Altitude Act
HR 1072,COVID–19 in Corrections Data Transparency Act
HR 5446,Pedestrian Safety and Transit Preservation Act
HRES 109,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of door delivery for all business and residential customers.
S 2877,"A bill to amend the Internal Revenue Code of 1986 to allow for payments to certain individuals who dye fuel, and for other purposes."
HR 794,Climate Emergency Act of 2021
HRES 457,"Expressing that the United States must establish electricity as a basic human right and public good, and eradicate the reliance on monopolized, profit-driven utility corporations and providers and the flawed regulatory regime that has failed to regulate these utilities in the public interest."
HRES 855,Expressing support for designation of the first week of December 2022 as National United States Miners Week.
HR 3774,Advancing Gig Economy Act
HR 7896,No ESG at TSP Act
HR 2621,Forestry Education and Workforce Development Act of 2021
HR 2163,Safe Step Act
HR 62,Improving Science in Chemical Assessments Act
HR 7885,"Protect Veteran Students, Job Seekers, and Entrepreneurs Housing Act"
HR 7888,Bahrain Security Cooperation Improvement Act
HR 685,Coronavirus Unemployment Benefits Tax Relief Act
HRES 72,Removing a certain Member from certain standing committees of the House of Representatives.
S 3204,Old Pascua Community Land Acquisition Act
HR 7898,Federal Firefighters Workforce Support Act
HR 7883,No Pay Until Peace Act
HR 1421,Territories College Access Act
S 698,HOTSPOTS Act
HR 1125,To amend the VA MISSION Act of 2018 to expand the veterans healing veterans medical access and scholarship program to include more students and schools.
S 2690,Expanding Access to Affordable Credit for Small Businesses Act
HR 4771,"To designate the Federal Building and United States Courthouse located at 111 North Adams Street in Tallahassee, Florida, as the ""Joseph Woodrow Hatchett United States Courthouse and Federal Building""."
HR 7897,PFAS Reference Standards Act
S 144,Desert Sage Youth Wellness Center Access Improvement Act
HR 543,POWER Act
HR 3443,Purple Heart Freedom to Work Act
HRES 1147,"Expressing support for the designation of May 2022 as Healthy Vision Month to promote eye care, thereby helping Americans of all ages maintain healthy vision that can keep you safe and active each day."
HR 534,Protecting Life in Foreign Assistance Act
HR 2934,RAISE Act
HR 936,COVID–19 Delivery Act
S 1961,IRA Act of 2021
HR 5984,IDEA Full Funding Act
S 1341,Water Resources Research Amendments Act
HR 4930,SHHH Act
SRES 555,"A resolution recognizing the heritage, culture, and contributions of American Indian, Alaska Native, and Native Hawaiian women in the United States."
S 1378,"Animal Freedom from Testing, Experiments, and Research Act of 2021"
S 1849,Leadership in Global Tech Standards Act of 2021
HR 1524,Nuclear Waste Informed Consent Act
S 3742,Recycling Infrastructure and Accessibility Act of 2022
HR 4686,Cambodia Democracy Act of 2021
HR 2582,PRACTICAL Act of 2021
HR 535,Special Districts Provide Essential Services Act
S 1287,REFUND Act of 2021
HR 156,Blue Collar to Green Collar Jobs Development Act of 2021
S 968,Combating Racist Training in the Military Act of 2021
S 1856,Rights for the TSA Workforce Act of 2021
HR 2741,Public Service Retirement Fairness Act of 2021
S 847,Student Loan Tax Elimination Act
S 4325,Credit Union Board Modernization Act
S 2296,Northern Neck National Heritage Area Act
HR 7892,Prohibition of Agricultural Land for the People’s Republic of China Act
HR 1563,"To extend the authorities under the Water Infrastructure Improvements for the Nation Act of 2016 providing operational flexibility, drought relief, and other benefits to the State of California."
HR 4079,Saving America’s Pollinators Act of 2021
HR 7881,Health Care Provider Shortage Minimization Act of 2022
HR 3517,Increasing Access to Osteoporosis Testing for Medicare Beneficiaries Act of 2021
HR 7909,"To amend the Internal Revenue Code of 1986 to provide for an exclusion from gross income for compensation of certain school resource officers, and for other purposes."
HR 348,Wear Your Mask Act
HR 2265,Financial Exploitation Prevention Act of 2021
HR 3220,RENEW Conservation Corps Act
HR 3435,American Broadband Act
HR 7889,Military Fitness Incentive Tuition Act
HR 669,Restricting First Use of Nuclear Weapons Act of 2021
HRES 670,Condemning the inhumane treatment of Haitian migrants at the southern border of the United States.
HR 7884,Benton MacKaye National Scenic Trail Act
HR 7886,School Watch and Tactics Act of 2022
HR 360,VA Fiscal Responsibility Act
HR 7905,Voting Rights Amendment Act of 2022
S 636,Billion Dollar Boondoggle Act of 2021
S 222,American Opportunity Accounts Act
HR 7882,Depend on Domestic Clean Energy Act
S 1999,Multiple Substance Impaired Driving Prevention Act of 2021
HR 7887,School Resource Officer Assessment Act of 2022
S 744,Report and Educate About Campus Hazing Act
S 2633,"A bill to require the Administrator of the National Oceanic and Atmospheric Administration to award grants to certain entities for purposes of carrying out climate-resilient living shoreline projects that protect coastal communities, and for other purposes."
S 1424,Chronic Disease Management Act of 2021
HR 2510,Keep Americans Safe Act
HRES 1146,"Expressing support for the designation of October 23, 2022, as a national day of remembrance of the tragic 1983 terrorist bombing of the United States Marine Corps barracks in Beirut, Lebanon."
S 728,COVID–19 Hate Crimes Act
HR 7891,TIER Act
HR 7906,"To establish a civil action for disqualification under section 3 of the 14th Amendment to the Constitution, and for other purposes."
HR 394,COVID–19 Student Loan Relief Extension Act
HRES 114,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of its 6-day mail delivery service.
HR 7879,"To require the Comptroller General of the United States to study radiological contamination in Coldwater Creek, and for other purposes."
S 4175,A bill to amend the Omnibus Public Land Management Act of 2009 to authorize certain extraordinary operation and maintenance work for urban canals of concern.
HR 3883,"To amend title 38, United States Code, to prohibit smoking on the premises of any facility of the Veterans Health Administration, and for other purposes."
HRES 735,"Expressing the sense of the House of Representatives that continuous parental engagement in the schooling decisions impacting their children is to be commended, supported, and encouraged, and that current efforts to exclude parents or even label them as domestic terrorists should be condemned."
HRES 811,"Expressing support for the designation of November 18, 2021, as ""National Rural Mental Health Day""."
S 2703,Flood Insurance Continuing Education and Training Act
HR 6354,Fix the United Nations Human Rights Council Act
HR 3098,Defund Cities that Defund the Police Act of 2021
HRES 344,Declaring racism a public health crisis.
HR 1418,Family Friendly Schools Act
HR 6760,Made in America Manufacturing Communities Act of 2022
HR 6511,No Bank Accounts for Terrorists Act
HR 4134,Keeping Girls in School Act
SRES 305,A resolution recognizing the contributions of African Americans to the musical heritage of the United States and the need for greater access to music education for African- American students and designating June 2021 as African-American Music Appreciation Month.
HR 312,"To provide a Federal income tax credit for State income taxes paid by individuals temporarily providing certain health or emergency services in the State, and to provide a corresponding reduction in Federal highway funds to the State."
HR 1841,Digital Equity Act of 2021
S 1911,Gros Ventre and Assiniboine Tribes of the Fort Belknap Indian Community Water Rights Settlement Act of 2021
SCONRES 25,"A concurrent resolution authorizing the use of the rotunda of the Capitol for the lying in state of the remains of the Honorable Harry Mason Reid, Jr., a Senator from the State of Nevada."
HR 8143,Lone Star Reimbursement Act
HR 3183,Metastatic Breast Cancer Access to Care Act
HRES 437,"Expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month""."
S 2204,Know Your Social Security Act
HRES 97,Reaffirming the importance of the United States relationship with the Dominican Republic.
HR 3275,PUMP Act of 2021
S 268,COVID–19 Whistleblower Protection Act
S 204,Global Press Freedom Act
HR 626,Teleabortion Prevention Act of 2021
HR 5072,Housing for Afghan Allies Act of 2021
HR 1809,"To designate a portion of United States Route 80 in Alabama as the ""John R. Lewis Voting Rights Highway"", and for other purposes."
HR 77,ADA Compliance for Customer Entry to Stores and Services Act
HR 2321,Border Surge Response and Resilience Act
HRES 52,"Expressing support for the designation of the week of January 24 through January 30, 2021, as ""National School Choice Week""."
HR 5767,Risk Management for Derivatives Clearing Organizations Act
SCONRES 17,A concurrent resolution celebrating the first anniversary of the coalition of signatory countries to the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family.
HR 84,Prevent Restrictions On Volunteers’ Incomes During Emergencies Act
HR 3426,Democracy Technology Partnership Act
HR 4126,Vaccine Passport Prevention Act of 2021
HR 758,"Vaccinate Americans, Not Terrorists Act"
HR 5814,Prohibiting Unrealized Capital Gains Taxation Act
S 200,Relaunching America’s Workforce Act
HR 1410,Support Our Schools Act
S 1293,Ending the Fentanyl Crisis Act of 2021
HRES 197,Expressing the sense of the Congress with respect to the export of COVID-19 vaccines to foreign countries.
HR 2168,Expanded Telehealth Access Act
HRES 580,"Commemorating the 50th anniversary of the Apollo 15 mission from July 26, 1971, to August 7, 1971."
HR 6044,FEMA Emergency Management Performance Grants Program Reauthorization Act of 2021
HR 5360,Freedom from Mandates Act
HR 3548,Keeping Our Promise Act
HR 3287,United States Postal Service Shipping Equity Act
S 1823,Voters on the Move Registration Act of 2021
S 1964,Ski Hill Resources for Economic Development Act of 2021
HR 131,Kalief’s Law
HR 3001,Vietnam Human Rights Act
HR 2132,Closing Loopholes and Ending Arbitrary and Needless Evasion of Regulations Act of 2021
HRES 80,Recognizing the roles and the contributions of America's certified registered nurse anesthetists (CRNAs) and their role in providing quality health care for the public.
HR 3393,Diversify Act
HR 639,Voter Registration Reporting Act of 2021
HR 5066,Afghanistan Accountability Act
S 1601,Future of Local News Act of 2021
HR 2657,Passport Act
HR 5314,Protecting Our Democracy Act
S 3263,Upholding the Law at Our Border Act
S 71,Accountability Through Electronic Verification Act
HR 6145,Community Bank Relief Act of 2021
SRES 151,A resolution calling on the President and the Secretary of Health and Human Services to take action to lower prescription drug costs.
HRES 103,"Condemning the bigotry that was displayed and voiced during the January 6th siege of the United States Capitol, the prominent role played by White supremacists and domestic terrorists in planning and leading the siege, and the elected officials who encouraged them."
S 1342,National Green Alert Act of 2021
HR 6499,Train Coverings for Community Safety Act
HR 3971,Double Dip Elimination Act
S 1545,Disclosure of Tax Havens and Offshoring Act
HR 51,"Washington, D.C. Admission Act"
S 151,COVID HCBS Relief Act of 2021
HR 2418,Student Loan Forgiveness for Frontline Health Workers Act
HR 4060,Second Amendment is Essential Act of 2021
S 257,Emergency Support for STEM Act
HR 2920,American Families United Act
HR 6458,"To amend title 38, United States Code, to eliminate the requirement to specify an effective period of a transfer of Post-9/11 educational assistance to a dependent."
S 175,Coronavirus Unemployment Benefits Tax Relief Act
HR 464,Nuclear Forensics Authority Realignment Act
S 2612,Prevent Interruptions in Physical Therapy Act of 2021
HR 1229,EAGLES Act of 2021
HR 1277,Improving Corporate Governance Through Diversity Act of 2021
HR 8907,Kevin and Avonte's Law Reauthorization Act of 2022
HRES 710,Urging the people of the United States to observe the month of October 2021 as Italian and Italian-American Heritage Month.
S 2400,Reconciliation in Place Names Act
HR 6550,End Prison Gerrymandering Act
HRES 1140,"Recognizing on Memorial Day, May 30, 2022, the denial of full participation in their Government through statehood by active duty servicemembers, National Guard members, reservists, veterans, and their families who are residents of the District of Columbia."
